,locname,Lat,Lng,name,Missing location,¿Cuántos skus IL hay en anaquel? ,¿Cuántos skus RS hay en anaquel? ,¿Hay IL GALLINA en anaquel? ,¿Hay RS GALLINA en anaquel? ,¿Cual es el precio de IL?,¿Cual es el precio de RS?,¿Todos los sabores IL tienen el mismo precio?,¿Todos los sabores RS tienen el mismo precio?,¿Hay degustaciones de Maruchan en la tienda esta semana? ,¿Hay promocion de Maruchan en la tienda esta semana? 
2561238,TAMBO MARIATEGUI ,-12.024765,-76.903274,Luis Castro,TAMBO MARIATEGUI ,6,1,Si,280,150,Si,Si,1,,
2561235,tambo tupac c 57,-11.958467,-77.053747,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2561204,Tambo Merino C15 - JR. IGNACIO MERINO,-12.079579,-77.033241,Moises Monroy,5,2,2.80,1.50,Si,1 items,1,,,,
2561201,tambo petit 47,-12.109293,-77.029036,Elena Gabriel,tambo petit 47,61,1,Si,2.80,1.50,Si,Si,1,,
2561176,Tambo San Martin C6 - CAL.PARQUE FUNDO LA,-12.019701,-76.887216,Luis Castro,6,3,Si,280,150,Si,2 items,1,,,
2561085,Tambo Cardenas - Jr. Teodoro Cardenas,-12.077583,-77.034396,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2561055,Tambo Santa Clara - Calle Parque Civico,-12.018291,-76.884414,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2561003,Tambo Petit C54 - Ave. Petit Thouars,-12.117013,-77.027766,Elena Gabriel,4,1,Si,2.80,1.50,Si,Si,1,,,
2560925,Tambo Pascana - Lote 13 Mza.Urb La Pascana,-11.933875,-77.046507,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2560921,Tambo Arequipa,-12.078963,-77.035344,Moises Monroy,5,2,Si,2.80,1.50,Si,1 items,1,,,
2560871,Tambo Angamos 3 - Ave. Angamos Este,-12.113328,-77.027158,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,1,,,
2560853,Tambo Arenales C15 - Ave. GENERAL ARENALES,-12.080159,-77.036273,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2560785,comas,-11.956271,-77.052501,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2560740,Tambo Cadamo - Jr. Manuel Candamo,-12.082571,-77.035566,Moises Monroy,6,3,Si,2.80,1.50,Si,2 items,1,,,
2560726,TAMBO HUAYCAN ,-12.012445,-76.824324,Luis Castro,5,3,Si,280,150,Si,2 items,1,,,
2560718,tambo república c47,-12.113290,-77.026303,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2560646,Tambo Mexico Comas - Mexico-Comas Mz G Lote,-11.955551,-77.058956,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2560592,Metro Óvalo Balta - Ovalo Balta No,-12.141189,-77.017448,Ruben Munoz,3,1,Si,Si,2.40,1.40,Si,Si,Si,1,
2560575,Metro Barranco - Ave. Grau No,-12.146528,-77.021827,Ruben Munoz,5,2,Si,2.70,1.40,Si,Si,1,,,
2560556,TAMBO AYLLON C4 Chaclayo ,-11.976457,-76.773278,Luis Castro,5,1,Si,2.80,1.50,Si,1 items,1,,,
2560555,Tambo Tello - Ave. Julio C.,-12.086580,-77.042014,Moises Monroy,5,1,Si,2.80,1.50,Si,Si,1,,,
2560554,Tambo Monterosa c2,-12.112262,-76.990754,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,6,,,
